fecha,TbFin,TbFinTGR
2020-09-28,385.258480785807,535.349892198522
2020-09-29,378.867578273296,526.407164452838
2020-09-30,391.311921873954,543.634025874072
2020-09-19,341.392124235771,477.297455664006
2020-09-20,340.251831196988,475.916766718081
2020-09-21,340.251831196988,475.916766718081
2020-09-22,315.599004130981,441.42403623785
2020-09-23,305.422546446758,427.225256092239
2020-09-24,342.515181341589,477.753754310392
2020-09-13,371.232967124212,518.517642926747
2020-09-14,371.232967124212,518.517642926747
2020-09-15,396.90452854388,554.435512916865
2020-09-16,409.113012009229,571.405649652359
2020-09-17,396.97347227574,555.056006503602
2020-09-18,367.534498771691,513.865755334957
2020-09-07,410.246047813079,572.17854517268
2020-09-08,410.246047813079,572.17854517268
2020-09-09,421.472083099429,587.953959607396
2020-09-10,406.00691545808,566.373664380975
